ilce,koy,village_lat,village_lon,confidence,approx
19 MAYIS,BEYLİK,41.4583896,36.091979,0.25,False
19 MAYIS,DAĞKÖY,41.4639494,36.0385062,1.0,False
19 MAYIS,DEREKÖY-BAHÇELİEVLER,41.45898,36.11376,0.0,False
19 MAYIS,HİBE,41.4643501,36.0256022,0.25,False
19 MAYIS,KARAGÖL,41.435768,36.048268,1.0,False
19 MAYIS,MERKEZ-KUMCAĞIZ,41.50306,36.10417,0.09375,False
19 MAYIS,MERKEZ-YEŞİLOVA,41.5011,36.06887,0.1666666666666666,False
19 MAYIS,YÖRÜKLER-GELERİÇ,41.5714451,36.1105967,0.63,False
19 MAYIS,YÖRÜKLER-SÜLEYMANŞAH,41.525006,36.0870196,0.5,False
19 MAYIS,YÖRÜKLER-TATLIELMA,41.5230522,36.1032894,1.0,False
ALAÇAM,ALİDEDEBÖLMESİ,41.488549,35.588308,1.0,False
ALAÇAM,AŞAĞIISIRGANLI,41.4584681,35.5601967,1.0,False
ALAÇAM,DOYRAN,41.6275639,35.6937795,0.5,False
ALAÇAM,ETYEMEZ,41.6168777,35.5685873,1.0,False
ALAÇAM,FATİH,41.6194849,35.6083416,0.5,False
ALAÇAM,GÖKÇEBOĞAZ,41.6007347,35.6497901,1.0,False
ALAÇAM,GÜMÜŞOVA,41.3039656,35.474293,1.0,False
ALAÇAM,HABİLLİ,41.624822,35.72577,0.25,False
ALAÇAM,KARAHÜSEYİNLİ,41.5489659,35.7060197,0.5,False
ALAÇAM,KÖSEKÖY,41.5416552,35.4708394,1.0,False
ALAÇAM,YAKACIK,41.6145761,35.628147,1.0,False
ASARCIK,ACISU,41.0163412,36.283617,1.0,False
ASARCIK,SAKIZLIK,41.0045543,36.1934004,1.0,False
ATAKUM,AKALAN,41.3348658,35.6997676,1.0,False
ATAKUM,AKSU,41.351435,36.1650677,1.0,False
ATAKUM,AYVALI,41.0967683,35.380894,1.0,False
ATAKUM,KARAKAVUK,41.379817,36.1336627,1.0,False
ATAKUM,KASNAKÇIMERMER,41.35498,36.2374216,1.0,False
ATAKUM,KULACADAĞ,41.2679979,36.1475973,1.0,False
ATAKUM,KURUGÖKÇE,41.4240588,36.0927674,1.0,False
ATAKUM,MERKEZ-CAMİ MAHALLESİ,41.3322588,36.2704652,0.25,False
ATAKUM,MERKEZ-GÜZELYURT,41.3322588,36.2704652,0.25,False
ATAKUM,MERKEZ-YEŞİLYURT,41.370227,36.209376,1.0,False
ATAKUM,SARAYKÖY,41.1909873,36.9497094,1.0,False
AYVACIK,YEŞİLDERE,40.9901888,36.6322919,1.0,False
AYVACIK,ZAFER,40.9988198,36.5607773,1.0,False
BAFRA,ADAKÖY,41.5977053,35.8901521,1.0,False
BAFRA,AKALAN,41.3348658,35.6997676,1.0,False
BAFRA,ALTINAY,41.5665954,35.9024777,0.25,False
BAFRA,ASAR,41.382641,35.787136,1.0,False
BAFRA,BALIKLAR,41.5984024,35.9360365,1.0,False
BAFRA,BENGÜ,41.384567,35.5279077,1.0,False
BAFRA,DEDEDAĞI,41.5665954,35.9024777,0.25,False
BAFRA,DERBENT,41.465103,35.859589,1.0,False
BAFRA,DOĞANCA,41.6460139,35.9803892,1.0,False
BAFRA,DOĞANKAYA,41.5076732,35.8679395,1.0,False
BAFRA,ELDAVUT,41.5625773,35.7913301,1.0,False
BAFRA,EMENLİ,41.5665954,35.9024777,0.25,False
BAFRA,ESENÇAY,41.1106638,36.5850763,1.0,False
BAFRA,FENER,41.6884298,35.9126128,1.0,False
BAFRA,GAZİBEYLİ,41.5665954,35.9024777,0.25,False
BAFRA,GÜMÜŞYAPRAK,41.5377677,35.9612317,1.0,False
BAFRA,HARIZ,41.5665954,35.9024777,0.25,False
BAFRA,KAHRAMANDERE,41.56778,35.90694,1.0,False
BAFRA,KAPIKAYA,41.5665954,35.9024777,0.25,False
BAFRA,KARAKÜTÜK,41.2718845,35.7695724,1.0,False
BAFRA,KARPUZLU,41.6442683,35.9307702,1.0,False
BAFRA,KAYGUSUZ,41.6245859,35.8800649,1.0,False
BAFRA,KOLAY,41.5512408,35.927259,0.9,False
BAFRA,KORULUK,41.5665954,35.9024777,0.25,False
BAFRA,KUŞÇULAR,41.5927328,35.8716655,1.0,False
BAFRA,MERKEZ-BAHÇELER,41.5665954,35.9024777,0.25,False
BAFRA,MERKEZ-FEVZİÇAKMAK,41.5665954,35.9024777,0.25,False
BAFRA,MEŞELİTÜRKMENLER,41.5665954,35.9024777,0.25,False
BAFRA,PAŞAŞEYH,41.5665954,35.9024777,0.25,False
BAFRA,SARIKÖY,41.5665954,35.9024777,0.25,False
BAFRA,SELEMELİK,41.5665954,35.9024777,0.25,False
BAFRA,TEPEBAŞI,41.5665954,35.9024777,0.25,False
BAFRA,TERZİLİ,41.5665954,35.9024777,0.25,False
BAFRA,TÜTÜNCÜLER,41.5292237,35.9400849,1.0,False
BAFRA,YAKINTAŞ,41.5665954,35.9024777,0.25,False
BAFRA,YAĞMURCA,41.5586954,35.8552086,1.0,False
BAFRA,YEŞİLYAZI,41.5665954,35.9024777,0.25,False
