farm_id,species,tabaka,herd_size,hastalanan,prevalence,illness_duration_days,total_loss_try,per_animal_loss_try,per_animal_loss_usd
1,sigir,1,20,1,0.05,60,3100.2623999999964,3100.2623999999964,163.6886166842659
2,sigir,2,34,2,0.058823529411764705,50,21953.26800000003,10976.634000000015,579.5477296726513
3,sigir,1,20,1,0.05,40,3654.358400000013,3654.358400000013,192.94394931362262
4,sigir,1,20,6,0.3,60,15605.479999999996,2600.9133333333325,137.32382963745155
5,sigir,1,20,1,0.05,50,5946.055999999988,5946.055999999988,313.94171066525803
6,sigir,1,20,1,0.05,50,19031.360000000022,19031.360000000022,1004.8236536430845
7,sigir,2,51,8,0.1568627450980392,60,31739.043999999954,3967.3804999999943,209.4709873284052
8,sigir,2,31,2,0.06451612903225806,30,11899.080000000085,5949.540000000043,314.12565997888294
9,sigir,1,23,2,0.08695652173913043,50,13400.939999999968,6700.469999999984,353.77349524815116
10,sigir,1,23,7,0.30434782608695654,60,11254.740000000007,1607.820000000001,84.89017951425559
11,sigir,1,20,6,0.3,30,10077.86519999995,1679.6441999999915,88.68237592396999
12,sigir,3,305,60,0.19672131147540983,60,781665.7496000003,13027.762493333339,687.8438486448437
13,sigir,2,28,2,0.07142857142857142,30,12069.540000000019,6034.7700000000095,318.6256599788812
14,sigir,1,24,3,0.125,50,18883.358400000026,6294.452800000009,332.33647307286213
15,sigir,3,100,7,0.07,40,136525.42399999997,19503.631999999994,1029.7588173178453
16,sigir,2,27,1,0.037037037037037035,50,12946.319999999996,12946.319999999996,683.5438225976766
17,sigir,1,21,1,0.047619047619047616,30,14256.696000000005,14256.696000000005,752.7294614572336
18,sigir,2,26,2,0.07692307692307693,60,26181.561999999973,13090.780999999986,691.1711193241808
19,sigir,1,25,3,0.12,30,23081.123999999963,7693.707999999988,406.21478352692645
20,sigir,1,23,1,0.043478260869565216,40,12023.419200000013,12023.419200000013,634.8162196409721
21,sigir,1,24,2,0.08333333333333333,60,16912.323999999986,8456.161999999993,446.47106652587075
22,sigir,1,20,1,0.05,60,4977.0912,4977.0912,262.78200633579723
23,sigir,1,20,1,0.05,60,6137.96799999995,6137.96799999995,324.07434002111665
24,sigir,1,23,1,0.043478260869565216,50,11417.320800000092,11417.320800000092,602.815248152064
25,sigir,1,25,2,0.08,60,8504.08000000001,4252.040000000005,224.5005279831048
26,sigir,2,29,5,0.1724137931034483,60,19073.320000000018,3814.6640000000034,201.40781414994737
27,sigir,2,26,4,0.15384615384615385,60,12097.856000000009,3024.464000000002,159.68658922914477
28,sigir,2,31,1,0.03225806451612903,50,17276.50200000002,17276.50200000002,912.1701161562839
